"id","name","parent_id","date"
"10","Star Wars",\N,"2019-12-18"
"29","Memories",\N,"1995-01-01"
"34","The Simpsons",\N,"2019-12-15"
"84","Indiana Jones",\N,"2020-07-10"
"119","The Lord of the Rings",\N,"2003-12-17"
"131","Trois Couleurs",\N,"1994-05-01"
"151","Star Trek",\N,"2019-04-18"
"188","Sin City",\N,"2014-08-19"
"230","The Godfather",\N,"1990-12-25"
"263","Batman",\N,"2012-07-20"
"264","Back to the Future",\N,"1990-05-25"
"295","Pirates of the Caribbean",\N,"2017-05-11"
"304","Ocean's",\N,"2018-06-05"
"305","Beverly Hills Cop Serie",\N,"1994-05-25"
"328","Jurassic Park",\N,"2018-05-21"
"399","Predator",\N,"2018-09-07"
"420","The Chronicles of Narnia",\N,"2010-12-02"
"432","Cube Movie Series",\N,"2004-10-15"
"456","Sissi",\N,"1957-12-19"
"495","Shaft Movie Series",\N,"2000-06-16"
"498","Heart of Gold",\N,"2000-05-17"
"528","Terminator",\N,"2019-10-23"
"529","Wallace & Gromit",\N,"2008-12-03"
"645","James Bond - 007",\N,"2015-10-26"
"656","Saw",\N,"2017-10-26"
"735","Blade",\N,"2011-09-16"
"748","X-Men",\N,"2020-04-03"
"749","Miss Marple",\N,"1965-08-01"
"937","The Pink Panther",\N,"2009-06-28"
"945","Lethal Weapon",\N,"2019-02-26"
"1006","Austin Powers",\N,"2002-07-22"
"1241","Harry Potter",\N,"2011-07-14"
"1270","Grindhouse",\N,"2007-06-21"
"15633","Garfield",\N,"2006-06-15"
"1565","28",\N,"2007-05-11"
"1570","Die Hard",\N,"2013-02-07"
"1575","Rocky",\N,"2018-11-14"
"1582","Teenage Mutant Ninja Turtles",\N,"2016-05-30"
"1606","Mission: Impossible",\N,"2018-07-12"
"1617","Erkan & Stefan",\N,"2005-05-19"
"1657","Zorro",\N,"2005-10-26"
"1664","Edgar Wallace",\N,"1972-03-09"
"1681","Godzilla Films",\N,"1962-08-11"
"1709","Planet of the Apes",\N,"2017-07-11"
"1733","The Mummy",\N,"2008-08-01"
"9500","Werner",\N,"2011-06-23"
"1952","USA - Land of Opportunities",\N,"2005-05-16"
"1960","Evil Dead",\N,"2018-04-29"
"1972","Ju-on",\N,"2003-05-16"
"1974","The Grudge",\N,"2009-05-12"
"2150","Shrek",\N,"2010-10-28"
"2248","Torrente",\N,"2005-09-30"
"2256","New Jersey Filme",\N,"2006-05-26"
"2326","Underworld",\N,"2016-11-24"
"2327","Taxi",\N,"2007-02-10"
"2344","The Matrix",\N,"2011-05-01"
"2366","Jaws",\N,"1987-07-17"
"2396","Asterix",\N,"2018-12-05"
"2404","Guyver",\N,"2005-01-01"
"2467","Tomb Raider",\N,"2018-03-02"
"2473","The Hitchhiker",\N,"1990-01-01"
"2488","Les Amours sous la Révolution",\N,"1978-02-08"
"2504","The Bourne Movies",\N,"2016-07-11"
"90963","The Thorn Birds",\N,\N
"2602","Scream",\N,"2011-04-15"
"2643","Zuijia Paidang",\N,"1989-01-01"
"2704","Die Bibel",\N,"2002-12-10"
"2741","Au théâtre ce soir",\N,"1982-12-31"
"2794","The Chronicles of Riddick",\N,"2004-09-02"
"2806","American Pie",\N,"2012-04-04"
"2883","Kill Bill",\N,"2004-04-16"
"2955","Homunculus",\N,"1916-01-01"
"2956","Homunculus","2955",\N
"2960","Die Rache des Homunculus","2955",\N
"2980","Ghostbusters",\N,"2016-07-09"
"3106","дозор",\N,"2006-01-01"
"3130","The Naked Gun",\N,"1994-03-18"
"3167","Ace Ventura",\N,"2009-03-01"
"3169","Dr. Dolittle",\N,"2009-04-08"
"3292","Tulse Luper",\N,"2005-10-20"
"3487","Drums of Fu Manchu",\N,"1943-01-01"
"3601","I Know What You Did Last Summer",\N,"2006-08-15"
"3924","Blondie",\N,"1950-04-13"
"3963","Les Rivières pourpres",\N,"2004-02-18"
"4246","Scary Movie",\N,"2013-04-11"
"4438","Odyssey Movie Series",\N,"1984-12-07"
"4525","Kommissar X",\N,"1971-08-20"
"4545","G-Man Jerry Cotton",\N,"1969-03-26"
"4563","Park Chan-Wook's Revenge Trilogie",\N,"2005-01-01"
"5039","Rambo",\N,"2019-09-18"
"5173","Rush Hour",\N,"2007-08-09"
"5202","Wilde Orchidee",\N,"1992-05-16"
"5455","Red Shoes Diaries",\N,"2002-05-02"
"5547","RoboCop",\N,"1993-07-07"
"6124","Der Mann ohne Namen",\N,"1921-01-01"
"6503","Lilly Schönauer",\N,"2013-06-26"
"7505","Fire, Earth, Water",\N,"2005-09-08"
"7970","Resident Evil",\N,"2016-12-13"
"8050","Highlander",\N,"2000-09-01"
"8091","Alien",\N,"2017-05-04"
"8354","Ice Age",\N,"2016-06-19"
"8384","Proletariat Trilogy",\N,"1990-01-12"
"8385","Finnland Trilogie",\N,"2006-02-03"
"8412","Anatomie",\N,"2003-02-06"
"8537","Superman",\N,"2011-05-13"
"8580","Karate Kid",\N,"1994-08-12"
"8582","Halloween",\N,"2007-08-31"
"8647","The Skulls",\N,"2004-03-23"
"8650","Transformers",\N,"2018-12-03"
"8773","L'amour à vingt ans",\N,"1962-06-22"
"8783","An American Tail",\N,"1999-12-09"
"8819","Casper",\N,"2001-03-01"
"8855","Otto",\N,"2010-12-02"
"8857","Monty Python",\N,"1983-01-01"
"8858","Rennschwein Rudi Rüssel",\N,"1995-03-16"
"8864","Final Destination",\N,"2009-08-26"
"8917","Hellraiser",\N,"2005-09-06"
"8918","The Hills Have Eyes",\N,"2007-03-16"
"8936","Bridget Jones",\N,"2004-11-08"
"8945","Mad Max",\N,"2015-05-14"
"8946","Didi",\N,"1986-11-27"
"8979","Wayne's World",\N,"1993-12-10"
"9014","ProSieben Funny Movie",\N,"2008-04-01"
"9046","A Chinese Ghost Story",\N,"1991-07-18"
"9055","Police Story",\N,"1996-01-01"
"9068","The Prophecy",\N,"2005-09-06"
"14126","攻殻機動隊",\N,"2004-03-06"
"9309","Winnetou",\N,"1968-12-01"
"9328","Free Willy",\N,"1995-07-19"
"9329","Young Guns",\N,"1990-07-30"
"9332","Crocodile Dundee",\N,"2001-04-12"
"9338","Police Academy",\N,"1994-06-10"
"9376","The NeverEnding Story",\N,"1994-10-27"
"9380","American Werewolf",\N,"1997-10-31"
"9435","Schweinchen Babe",\N,"1998-11-25"
"9436","The Crow",\N,"2005-05-13"
"9485","The Fast and the Furious",\N,"2019-07-13"
"9518","The Transporter",\N,"2015-09-02"
"9521","Look Who's Talking",\N,"1993-11-05"
"9578","Die wilden Hühner",\N,"2006-02-09"
"9649","El Mariachi",\N,"2003-08-27"
"9734","The Lion King",\N,"2004-02-10"
"9735","Friday the 13th",\N,"2009-02-13"
"9743","Hannibal Lecter",\N,"2015-08-29"
"9744","Fantastic Four",\N,"2007-06-15"
"9818","Mortal Kombat",\N,"1997-11-21"
"9887","Species",\N,"2007-10-02"
"9888","Home Alone",\N,"2002-11-03"
"10465","Behind Enemy Lines",\N,"2006-01-01"
"10143","Iron Man",\N,"2013-04-18"
"10182","A Nightmare on Elm Street",\N,"1994-10-14"
"10194","Toy Story",\N,"2019-06-14"
"10262","Goal",\N,"2009-01-01"
"10352","Urban Legend",\N,"2005-07-19"
"10441","Spacecenter Babylon 5",\N,"1999-01-03"
"10453","Poltergeist",\N,"1988-06-10"
"10454","Dracula",\N,"2005-07-12"
"10455","Chucky",\N,"2017-08-24"
"10456","Dirty Harry",\N,"1988-07-13"
"10457","黃飛鴻",\N,"1997-02-22"
"10460","Die Drei ???",\N,"2009-03-19"
"10517","Le Gendarme de St. Tropez",\N,"1982-10-06"
"10522","Starship Troopers",\N,"2008-08-05"
"10554","Eis am Stiel",\N,"1988-08-18"
"10709","The Mighty Ducks",\N,"1996-10-04"
"10713","Universal Soldier",\N,"2009-01-01"
"10721","Mimic",\N,"2003-04-14"
"10789","Pet Sementary",\N,"1992-08-28"
"10815","Urmel",\N,"2008-05-01"
"10892","Tremors",\N,"2015-10-06"
"10893","Critters",\N,"1992-08-20"
"10901","Pokémon",\N,"2002-10-11"
"10919","The Omen",\N,"2006-06-06"
"10924","From Dusk Till Dawn",\N,"2016-11-01"
"10928","National Lampoon's",\N,"2011-08-05"
"10964","Plattfuß",\N,"1980-06-19"
"11118","Olsen-banden",\N,"1998-12-18"
"11136","The Muppets",\N,"1999-07-14"
"11138","Beethoven",\N,"2014-10-14"
